"filename", "language", "JSON", "JavaScript", "JSON with Comments", "HTML", "vue", "YAML", "CSS", "comment", "blank", "total"
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\.eslintrc.cjs", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 1, 2, 15
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\.prettierrc.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\jsconfig.json", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\package.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 0, 1, 40
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 2208, 0, 0, 324, 2532
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\src\App.vue", "vue", 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\src\api\account.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 7, 29
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\src\api\admin\admin.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\src\api\admin\analysis.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 6, 7, 32
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\src\api\admin\management.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 2, 5, 22
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\src\api\friend.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 8, 27
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\src\api\gameAI.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 4, 5, 19
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\src\assets\main.css", "CSS", 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\src\assets\map.json", "JSON", 27115, 0, 0, 0, 0, 0, 0, 0, 1, 27116
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\src\components\ChatItem.vue", "vue", 0, 0, 0, 0, 62, 0, 0, 3, 11, 76
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\src\components\CheckerBoard.vue", "vue", 0, 0, 0, 0, 27, 0, 0, 0, 3, 30
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\src\components\FriendItem.vue", "vue", 0, 0, 0, 0, 103, 0, 0, 2, 15, 120
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\src\components\ModifyInfoForm.vue", "vue", 0, 0, 0, 0, 83, 0, 0, 0, 13, 96
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\src\components\ShowTab.vue", "vue", 0, 0, 0, 0, 36, 0, 0, 0, 4, 40
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\src\components\UserInfoShow.vue", "vue", 0, 0, 0, 0, 162, 0, 0, 5, 20, 187
"d:\技术栈\项目\五子棋项目\iGomokuGame\iGomokuGame-Web\src\components\bigscreen\RankingBoard.vue", "vue", 0, 0, 0, 0, 68, 0, 0, 0, 7, 75
